rag_place_id,place_name,original_image_url,source_page_url,source,credit,license_note,image_order,is_primary,local_original_path,local_optimized_path,public_url,download_status,http_status,content_type,original_width,original_height,optimized_width,optimized_height,file_size_bytes,fail_reason,downloaded_at
QN_0001,Vịnh Hạ Long,https://commons.wikimedia.org/wiki/Special:FilePath/HALONG%20BAY%20.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/HALONG%20BAY%20.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,,,,failed,200,image/jpeg,,,,,,file_too_large_over_15728640,2026-05-07T11:40:55+00:00
QN_0001,Vịnh Hạ Long,https://commons.wikimedia.org/wiki/Special:FilePath/Halong%20Bay1.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Halong%20Bay1.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,2,0,data/image_pipeline/downloaded/original/QN_0001/QN_0001_02_3c2355f47bb4.jpg,data/image_pipeline/downloaded/optimized/QN_0001/QN_0001_02.webp,/images/destinations/QN_0001/QN_0001_02.webp,downloaded,200,image/jpeg,4301,2807,1280,835,85056,,2026-05-07T11:40:57+00:00
QN_0001,Vịnh Hạ Long,https://commons.wikimedia.org/wiki/Special:FilePath/H%E1%BA%A1%20Long%20Bay%2C%20Vietnam%20%28Unsplash%20Q8FHN3qSq2w%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/H%E1%BA%A1%20Long%20Bay%2C%20Vietnam%20%28Unsplash%20Q8FHN3qSq2w%29.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,3,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:40:59+00:00
QN_0001,Vịnh Hạ Long,https://commons.wikimedia.org/wiki/Special:FilePath/Halong%20Bay%20in%20Vietnam.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Halong%20Bay%20in%20Vietnam.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,4,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:41:00+00:00
QN_0001,Vịnh Hạ Long,https://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20Halong%20Bay.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20Halong%20Bay.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,5,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:41:01+00:00
QN_0124,Chùa Lân - Thiền viện Trúc Lâm Yên Tử,https://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%B9a%20L%C3%A2n.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%B9a%20L%C3%A2n.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/QN_0124/QN_0124_01_f7a828f7b162.jpg,data/image_pipeline/downloaded/optimized/QN_0124/QN_0124_01.webp,/images/destinations/QN_0124/QN_0124_01.webp,downloaded,200,image/jpeg,1224,1632,1224,1632,342872,,2026-05-07T11:41:02+00:00
QN_0081,Đảo Cô Tô,https://commons.wikimedia.org/wiki/Special:FilePath/Co%20To%20Island%20Quang%20Ninh%20Viet%20Nam%20%28160672609%29.jpeg,https://commons.wikimedia.org/wiki/Special:FilePath/Co%20To%20Island%20Quang%20Ninh%20Viet%20Nam%20%28160672609%29.jpeg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/QN_0081/QN_0081_01_49774a77cfcb.jpg,data/image_pipeline/downloaded/optimized/QN_0081/QN_0081_01.webp,/images/destinations/QN_0081/QN_0081_01.webp,downloaded,200,image/jpeg,2048,1363,1280,851,291640,,2026-05-07T11:41:04+00:00
QN_0081,Đảo Cô Tô,https://commons.wikimedia.org/wiki/Special:FilePath/Alone%20front%20of%20Co%20To%20beach%2C%20Viet%20Nam%20%28160620021%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Alone%20front%20of%20Co%20To%20beach%2C%20Viet%20Nam%20%28160620021%29.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,2,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:41:06+00:00
QN_0081,Đảo Cô Tô,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A3i%20bi%E1%BB%83n%20H%E1%BB%93ng%20V%C3%A0n.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A3i%20bi%E1%BB%83n%20H%E1%BB%93ng%20V%C3%A0n.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,3,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:41:07+00:00
QN_0081,Đảo Cô Tô,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A3i%20%C4%91%C3%A1%20C%E1%BA%A7u%20M%E1%BB%B5.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A3i%20%C4%91%C3%A1%20C%E1%BA%A7u%20M%E1%BB%B5.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,4,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T11:41:08+00:00
