rag_place_id,place_name,original_image_url,source_page_url,source,credit,license_note,image_order,is_primary,local_original_path,local_optimized_path,public_url,download_status,http_status,content_type,original_width,original_height,optimized_width,optimized_height,file_size_bytes,fail_reason,downloaded_at
TN_0085,Đồi chè Tân Cương view point,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-1-8c18b472-c7c8-493a-aac8-24275ea7cc94.jpg?v=1610438273300,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-1-8c18b472-c7c8-493a-aac8-24275ea7cc94.jpg?v=1610438273300,bizweb.dktcdn.net,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/TN_0085/TN_0085_01_e0303c211589.jpg,data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_01.webp,/images/destinations/TN_0085/TN_0085_01.webp,downloaded,200,image/webp,830,553,830,553,143232,,2026-05-07T14:16:43+00:00
TN_0085,Đồi chè Tân Cương view point,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-2-8ad90832-c31e-4be9-96f1-01972b4384db.jpg?v=1610438307958,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-2-8ad90832-c31e-4be9-96f1-01972b4384db.jpg?v=1610438307958,bizweb.dktcdn.net,,Cần kiểm tra quyền sử dụng,2,0,data/image_pipeline/downloaded/original/TN_0085/TN_0085_02_5c5e6fb66c42.jpg,data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_02.webp,/images/destinations/TN_0085/TN_0085_02.webp,downloaded,200,image/webp,830,553,830,553,88020,,2026-05-07T14:16:45+00:00
TN_0085,Đồi chè Tân Cương view point,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-3-7844ba7d-2aa7-428e-8d28-7101710c0387.jpg?v=1610438335991,https://bizweb.dktcdn.net/100/201/525/files/hinh-anh-doi-che-tan-cuong-thai-nguyen-3-7844ba7d-2aa7-428e-8d28-7101710c0387.jpg?v=1610438335991,bizweb.dktcdn.net,,Cần kiểm tra quyền sử dụng,3,0,data/image_pipeline/downloaded/original/TN_0085/TN_0085_03_ad75fe6f36c2.jpg,data/image_pipeline/downloaded/optimized/TN_0085/TN_0085_03.webp,/images/destinations/TN_0085/TN_0085_03.webp,downloaded,200,image/webp,830,466,830,466,82680,,2026-05-07T14:16:46+00:00
TN_0084,Thác Khuôn Tát 7 tầng,https://cafefcdn.com/thumb_w/640/203337114487263232/2022/7/17/photo-20-16580464272571555075402.jpeg,https://cafefcdn.com/thumb_w/640/203337114487263232/2022/7/17/photo-20-16580464272571555075402.jpeg,cafefcdn.com,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/TN_0084/TN_0084_01_f2828f218020.jpg,data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_01.webp,/images/destinations/TN_0084/TN_0084_01.webp,downloaded,200,image/webp,640,640,640,640,127574,,2026-05-07T14:16:47+00:00
TN_0084,Thác Khuôn Tát 7 tầng,https://media.cungphuot.info/2017/07/24179/thac-khuon-tat.jpg,https://media.cungphuot.info/2017/07/24179/thac-khuon-tat.jpg,media.cungphuot.info,,Cần kiểm tra quyền sử dụng,2,0,data/image_pipeline/downloaded/original/TN_0084/TN_0084_02_39bb138b1771.jpg,data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_02.webp,/images/destinations/TN_0084/TN_0084_02.webp,downloaded,200,image/webp,800,480,800,480,112592,,2026-05-07T14:16:49+00:00
TN_0084,Thác Khuôn Tát 7 tầng,https://cafefcdn.com/thumb_w/640/203337114487263232/2022/7/17/photo-21-16580464273392102154386.jpeg,https://cafefcdn.com/thumb_w/640/203337114487263232/2022/7/17/photo-21-16580464273392102154386.jpeg,cafefcdn.com,,Cần kiểm tra quyền sử dụng,3,0,data/image_pipeline/downloaded/original/TN_0084/TN_0084_03_377e103e0a4d.jpg,data/image_pipeline/downloaded/optimized/TN_0084/TN_0084_03.webp,/images/destinations/TN_0084/TN_0084_03.webp,downloaded,200,image/webp,640,640,640,640,148114,,2026-05-07T14:16:50+00:00
LS_0001,Động Tam Thanh,https://mia.vn/media/uploads/blog-du-lich/chua-tam-thanh-01-1696339550.jpg,https://mia.vn/media/uploads/blog-du-lich/chua-tam-thanh-01-1696339550.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/LS_0001/LS_0001_01_3bc056909c99.jpg,data/image_pipeline/downloaded/optimized/LS_0001/LS_0001_01.webp,/images/destinations/LS_0001/LS_0001_01.webp,downloaded,200,image/jpeg,800,533,800,533,76472,,2026-05-07T14:16:52+00:00
LS_0001,Động Tam Thanh,https://mia.vn/media/uploads/blog-du-lich/chua-tam-thanh-04-1696339550.jpg,https://mia.vn/media/uploads/blog-du-lich/chua-tam-thanh-04-1696339550.jpg,MIA.vn,,Cần kiểm tra quyền sử dụng,2,0,data/image_pipeline/downloaded/original/LS_0001/LS_0001_02_42c1de17a31f.jpg,data/image_pipeline/downloaded/optimized/LS_0001/LS_0001_02.webp,/images/destinations/LS_0001/LS_0001_02.webp,downloaded,200,image/jpeg,800,507,800,507,110754,,2026-05-07T14:16:54+00:00
LS_0003,Động Nhị Thanh,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/06_2021/dong-nhi-thanh-lang-son.jpg,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/06_2021/dong-nhi-thanh-lang-son.jpg,Lữ Hành Việt Nam,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/LS_0003/LS_0003_01_0cd412d5c8ea.jpg,data/image_pipeline/downloaded/optimized/LS_0003/LS_0003_01.webp,/images/destinations/LS_0003/LS_0003_01.webp,downloaded,200,image/jpeg,700,500,700,500,153624,,2026-05-07T14:16:55+00:00
LS_0003,Động Nhị Thanh,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/06_2021/dong-nhi-thanh-lang-son-kien0truc.jpg,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/06_2021/dong-nhi-thanh-lang-son-kien0truc.jpg,Lữ Hành Việt Nam,,Cần kiểm tra quyền sử dụng,2,0,data/image_pipeline/downloaded/original/LS_0003/LS_0003_02_ca590c9294e8.jpg,data/image_pipeline/downloaded/optimized/LS_0003/LS_0003_02.webp,/images/destinations/LS_0003/LS_0003_02.webp,downloaded,200,image/jpeg,700,500,700,500,82402,,2026-05-07T14:16:56+00:00
