id,name,address,province,url1,url2,url3,url4,url5
CT_0017,Khu du lịch Mỹ Khánh,"Phong Điền, Cần Thơ",Cần Thơ,,,,,
CT_0019,Thiền viện Trúc Lâm Phương Nam,"Phong Điền, Cần Thơ",Cần Thơ,,,,,
CT_0002,Cầu đi bộ Ninh Kiều,"Ninh Kiều, Cần Thơ",Cần Thơ,,,,,
CT_0027,Cồn Sơn,"Bình Thủy, Cần Thơ",Cần Thơ,,,,,
CT_0035,Vườn cò Bằng Lăng,"Thốt Nốt, Cần Thơ",Cần Thơ,,,,,
CT_0026,Chợ nổi Phong Điền,"Phong Điền, Cần Thơ",Cần Thơ,,,,,
CT_0032,Đình Bình Thủy,"Bình Thủy, Cần Thơ",Cần Thơ,,,,,
CT_0009,Chùa Ông Cần Thơ,"Ninh Kiều, Cần Thơ",Cần Thơ,,,,,
CT_0004,Chợ cổ Cần Thơ,"Ninh Kiều, Cần Thơ",Cần Thơ,,,,,
CT_0022,Khu du lịch Lung Cột Cầu,"Phong Điền, Cần Thơ",Cần Thơ,,,,,
CT_0023,Vườn ca cao Mười Cương,"Phong Điền, Cần Thơ",Cần Thơ,,,,,
BL_0007,Đồng hồ đá Thái Dương,"TP Bạc Liêu, Bạc Liêu",Bạc Liêu,,,,,
BL_0009,Chợ đêm Bạc Liêu,"TP Bạc Liêu, Bạc Liêu",Bạc Liêu,,,,,
BL_0031,Vườn nhãn cổ Bạc Liêu,"Hiệp Thành, TP Bạc Liêu, Bạc Liêu",Bạc Liêu,,,,,
BL_0026,Chùa Giác Hoa,"Vĩnh Lợi, Bạc Liêu",Bạc Liêu,,,,,
BL_0057,Vườn chim Lập Điền,"Đông Hải, Bạc Liêu",Bạc Liêu,,,,,
BL_0023,Sân chim Bạc Liêu,"TP Bạc Liêu, Bạc Liêu",Bạc Liêu,,,,,
BL_0017,Khu du lịch Nhà Mát,"Nhà Mát, TP Bạc Liêu, Bạc Liêu",Bạc Liêu,,,,,
BL_0063,Di tích Đồng Nọc Nạng,"Giá Rai, Bạc Liêu",Bạc Liêu,,,,,
CT_0012,Cầu Cần Thơ,"Cái Răng, Cần Thơ",Cần Thơ,,,,,
VL_0020,Văn Thánh Miếu Vĩnh Long,"TP Vĩnh Long, Vĩnh Long",Vĩnh Long,,,,,
VL_0059,Chùa Phật Ngọc Xá Lợi Vĩnh Long,"TP Vĩnh Long, Vĩnh Long",Vĩnh Long,,,,,
VL_0002,Khu du lịch Vinh Sang,"Cù lao An Bình, Long Hồ, Vĩnh Long",Vĩnh Long,,,,,
VL_0001,Cù lao An Bình,"Long Hồ, Vĩnh Long",Vĩnh Long,,,,,
VL_0034,Lò gạch Mang Thít,"Mang Thít, Vĩnh Long",Vĩnh Long,,,,,
VL_0010,Chợ nổi Trà Ôn,"Trà Ôn, Vĩnh Long",Vĩnh Long,,,,,
VL_0003,Nhà cổ Cai Cường,"Long Hồ, Vĩnh Long",Vĩnh Long,,,,,
VL_0018,Khu tưởng niệm Thủ tướng Võ Văn Kiệt,"Vũng Liêm, Vĩnh Long",Vĩnh Long,,,,,
VL_0028,Chùa Tiên Châu,"An Bình, Long Hồ, Vĩnh Long",Vĩnh Long,,,,,
TV_0019,Cồn Chim,"Châu Thành, Trà Vinh",Trà Vinh,,,,,
TV_0021,Cù lao Long Trị,"Châu Thành, Trà Vinh",Trà Vinh,,,,,
TV_0005,Chùa Hang Trà Vinh,"Trà Cú, Trà Vinh",Trà Vinh,,,,,
TV_0010,Chùa Ông Mẹt,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
TV_0041,Chùa Samrông Ek,"Cầu Kè, Trà Vinh",Trà Vinh,,,,,
TV_0011,Chùa Long Đức Trà Vinh,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
TV_0043,Khu du lịch sinh thái Huỳnh Kha,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
BT_0056,Đảo Phú Quý,"Phú Quý, Bình Thuận",Bình Thuận,,,,,
BT_0007,Bãi đá Ông Địa,"Hàm Tiến, Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0002,Làng chài Mũi Né,"Mũi Né, Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0005,Suối Tiên Mũi Né,"Mũi Né, Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0024,Lầu Ông Hoàng,"Phú Hài, Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0020,Dinh Vạn Thủy Tú,"Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0025,Bãi Rạng Mũi Né,"Hàm Tiến, Phan Thiết, Bình Thuận",Bình Thuận,,,,,
BT_0041,Cù Lao Câu,"Tuy Phong, Bình Thuận",Bình Thuận,,,,,
BT_0032,Mũi Kê Gà,"Tân Thành, Hàm Thuận Nam, Bình Thuận",Bình Thuận,,,,,
BT_0033,Hải đăng Kê Gà,"Kê Gà, Hàm Thuận Nam, Bình Thuận",Bình Thuận,,,,,
BT_0036,Núi Tà Cú,"Hàm Thuận Nam, Bình Thuận",Bình Thuận,,,,,
BT_0037,Chùa Linh Sơn Trường Thọ,"Núi Tà Cú, Bình Thuận",Bình Thuận,,,,,
BT_0043,Biển Cổ Thạch,"Bình Thạnh, Tuy Phong, Bình Thuận",Bình Thuận,,,,,
BT_0049,Chùa Hang Cổ Thạch,"Tuy Phong, Bình Thuận",Bình Thuận,,,,,
BT_0048,Cánh đồng điện gió Tuy Phong,"Tuy Phong, Bình Thuận",Bình Thuận,,,,,
NT_0023,Tháp Po Klong Garai,"Phan Rang - Tháp Chàm, Ninh Thuận",Ninh Thuận,,,,,
NT_0001,Vịnh Vĩnh Hy,"Vĩnh Hy, Ninh Hải, Ninh Thuận",Ninh Thuận,,,,,
NT_0002,Hang Rái,"Vĩnh Hy, Ninh Hải, Ninh Thuận",Ninh Thuận,,,,,
NT_0003,Vườn quốc gia Núi Chúa,"Ninh Hải - Thuận Bắc, Ninh Thuận",Ninh Thuận,,,,,
NT_0010,Bãi biển Ninh Chữ,"Ninh Chữ, Phan Rang - Tháp Chàm, Ninh Thuận",Ninh Thuận,,,,,
NT_0019,Đồi cát Nam Cương,"Ninh Phước, Ninh Thuận",Ninh Thuận,,,,,
NT_0021,Làng gốm Bàu Trúc,"Phước Dân, Ninh Phước, Ninh Thuận",Ninh Thuận,,,,,
NT_0022,Làng dệt Mỹ Nghiệp,"Phước Dân, Ninh Phước, Ninh Thuận",Ninh Thuận,,,,,
NT_0039,Đồng cừu Sơn Hải,"Sơn Hải, Thuận Nam, Ninh Thuận",Ninh Thuận,,,,,
NT_0015,Mũi Dinh,"Thuận Nam, Ninh Thuận",Ninh Thuận,,,,,
NT_0007,Bãi Bình Tiên,"Thuận Bắc, Ninh Thuận",Ninh Thuận,,,,,
NT_0043,Suối Lồ Ồ,"Bác Ái, Ninh Thuận",Ninh Thuận,,,,,
KH_0068,Bãi Kinh,"Cam Ranh, Khánh Hòa",Khánh Hòa,,,,,
LD_0060,Thác Pongour,"Đức Trọng, Lâm Đồng",Lâm Đồng,,,,,
LD_0015,Thác Datanla,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0017,Thác Prenn,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0018,Thác Cam Ly,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0014,Đường hầm Đất Sét,"Hồ Tuyền Lâm, Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0039,Fresh Garden Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0021,Vườn hoa thành phố Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0006,Dinh II Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0003,Nhà thờ Con Gà Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0004,Ga Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0022,Chợ Đà Lạt,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0013,Hồ Tuyền Lâm,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0012,Thiền viện Trúc Lâm Đà Lạt,"Hồ Tuyền Lâm, Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0033,Ma Rừng Lữ Quán,"Lạc Dương, Lâm Đồng",Lâm Đồng,,,,,
LD_0031,Làng Cù Lần,"Lạc Dương, Lâm Đồng",Lâm Đồng,,,,,
LD_0027,Đồi Thiên Phúc Đức,"Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
LD_0034,Zoodoo Đà Lạt,"Lạc Dương, Lâm Đồng",Lâm Đồng,,,,,
LD_0064,Thác Voi,"Nam Ban, Lâm Hà, Lâm Đồng",Lâm Đồng,,,,,
LD_0065,Chùa Linh Ẩn,"Nam Ban, Lâm Hà, Lâm Đồng",Lâm Đồng,,,,,
LD_0010,Chùa Linh Phước,"Trại Mát, Đà Lạt, Lâm Đồng",Lâm Đồng,,,,,
DLK_0027,Hồ Lắk,"Lắk, Đắk Lắk",Đắk Lắk,,,,,
DLK_0017,Buôn Đôn,"Buôn Đôn, Đắk Lắk",Đắk Lắk,,,,,
DLK_0031,Thác Dray Nur,"Krông Ana, Đắk Lắk",Đắk Lắk,,,,,
DNO_0012,Thác Dray Sáp,"Cư Jút, Đắk Nông",Đắk Nông,,,,,
DLK_0001,Bảo tàng Thế giới Cà phê,"Buôn Ma Thuột, Đắk Lắk",Đắk Lắk,,,,,
DLK_0007,Làng cà phê Trung Nguyên,"Buôn Ma Thuột, Đắk Lắk",Đắk Lắk,,,,,
DLK_0016,Khu du lịch Ko Tam,"Buôn Ma Thuột, Đắk Lắk",Đắk Lắk,,,,,
DLK_0022,Vườn quốc gia Yok Đôn,"Buôn Đôn - Ea Súp, Đắk Lắk",Đắk Lắk,,,,,
DLK_0029,Núi Đá Voi Mẹ,"Lắk, Đắk Lắk",Đắk Lắk,,,,,
DLK_0033,Thác Gia Long,"Krông Ana, Đắk Lắk",Đắk Lắk,,,,,
DNO_0007,Công viên địa chất toàn cầu UNESCO Đắk Nông,Đắk Nông,Đắk Nông,,,,,
DNO_0016,Thác Liêng Nung,"Gia Nghĩa, Đắk Nông",Đắk Nông,,,,,
DNO_0044,Hồ Ea Snô,"Krông Nô, Đắk Nông",Đắk Nông,,,,,
DNO_0020,Hồ Tây Đắk Mil,"Đắk Mil, Đắk Nông",Đắk Nông,,,,,
GL_0001,Biển Hồ T'Nưng,"Pleiku, Gia Lai",Gia Lai,,,,,
