rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
AG_0009,4,data/image_pipeline/downloaded/optimized/AG_0009/AG_0009_01.webp,data/image_pipeline/downloaded/optimized/AG_0009/AG_0009_01.webp|data/image_pipeline/downloaded/optimized/AG_0009/AG_0009_02.webp|data/image_pipeline/downloaded/optimized/AG_0009/AG_0009_03.webp|data/image_pipeline/downloaded/optimized/AG_0009/AG_0009_04.webp,601976
AG_0018,4,data/image_pipeline/downloaded/optimized/AG_0018/AG_0018_01.webp,data/image_pipeline/downloaded/optimized/AG_0018/AG_0018_01.webp|data/image_pipeline/downloaded/optimized/AG_0018/AG_0018_02.webp|data/image_pipeline/downloaded/optimized/AG_0018/AG_0018_03.webp|data/image_pipeline/downloaded/optimized/AG_0018/AG_0018_04.webp,350268
AG_0047,2,data/image_pipeline/downloaded/optimized/AG_0047/AG_0047_01.webp,data/image_pipeline/downloaded/optimized/AG_0047/AG_0047_01.webp|data/image_pipeline/downloaded/optimized/AG_0047/AG_0047_02.webp,230710
BDI_0001,3,data/image_pipeline/downloaded/optimized/BDI_0001/BDI_0001_01.webp,data/image_pipeline/downloaded/optimized/BDI_0001/BDI_0001_01.webp|data/image_pipeline/downloaded/optimized/BDI_0001/BDI_0001_02.webp|data/image_pipeline/downloaded/optimized/BDI_0001/BDI_0001_03.webp,234816
BDI_0002,3,data/image_pipeline/downloaded/optimized/BDI_0002/BDI_0002_01.webp,data/image_pipeline/downloaded/optimized/BDI_0002/BDI_0002_01.webp|data/image_pipeline/downloaded/optimized/BDI_0002/BDI_0002_02.webp|data/image_pipeline/downloaded/optimized/BDI_0002/BDI_0002_03.webp,274968
BDI_0017,3,data/image_pipeline/downloaded/optimized/BDI_0017/BDI_0017_01.webp,data/image_pipeline/downloaded/optimized/BDI_0017/BDI_0017_01.webp|data/image_pipeline/downloaded/optimized/BDI_0017/BDI_0017_02.webp|data/image_pipeline/downloaded/optimized/BDI_0017/BDI_0017_03.webp,302558
BK_0002,3,data/image_pipeline/downloaded/optimized/BK_0002/BK_0002_01.webp,data/image_pipeline/downloaded/optimized/BK_0002/BK_0002_01.webp|data/image_pipeline/downloaded/optimized/BK_0002/BK_0002_02.webp|data/image_pipeline/downloaded/optimized/BK_0002/BK_0002_03.webp,264192
BRVT_0009,2,data/image_pipeline/downloaded/optimized/BRVT_0009/BRVT_0009_01.webp,data/image_pipeline/downloaded/optimized/BRVT_0009/BRVT_0009_01.webp|data/image_pipeline/downloaded/optimized/BRVT_0009/BRVT_0009_02.webp,750844
BRVT_0044,1,data/image_pipeline/downloaded/optimized/BRVT_0044/BRVT_0044_01.webp,data/image_pipeline/downloaded/optimized/BRVT_0044/BRVT_0044_01.webp,115960
BRVT_0068,1,data/image_pipeline/downloaded/optimized/BRVT_0068/BRVT_0068_01.webp,data/image_pipeline/downloaded/optimized/BRVT_0068/BRVT_0068_01.webp,153938
