tier,id,name,address,province,local_image_count,status,image_files
2,LC_0009,Thác Tác Tình,"Bình Lư, Tam Đường, Lai Châu",Lai Châu,0,missing,
2,LC_0003,Cầu kính Rồng Mây,"Sơn Bình, Tam Đường, Lai Châu",Lai Châu,0,missing,
2,LC_0064,Bản Sin Suối Hồ,"Sin Suối Hồ, Phong Thổ, Lai Châu",Lai Châu,0,missing,
2,YB_0010,Đèo Khau Phạ,"Quốc lộ 32, Mù Cang Chải, Yên Bái",Yên Bái,0,missing,
2,YB_0099,Tú Lệ,"Tú Lệ, Văn Chấn, Yên Bái",Yên Bái,0,missing,
2,YB_0021,Hồ Thác Bà,"Yên Bình, Yên Bái",Yên Bái,0,missing,
2,YB_0038,Tà Chì Nhù,"Xà Hồ, Trạm Tấu, Yên Bái",Yên Bái,0,missing,
2,YB_0014,Bản Lìm Mông,"Cao Phạ, Mù Cang Chải, Yên Bái",Yên Bái,0,missing,
2,YB_0044,Nghĩa Lộ,"Nghĩa Lộ, Yên Bái",Yên Bái,0,missing,
2,PTO_0009,Bảo tàng Hùng Vương tại Đền Hùng,"Khu di tích Đền Hùng, Việt Trì, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0059,Đầm Ao Châu,"Hạ Hòa, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0043,Vườn quốc gia Xuân Sơn,"Tân Sơn, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0034,Đảo Ngọc Xanh,"La Phù, Thanh Thủy, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0060,Đền Mẫu Âu Cơ,"Hiền Lương, Hạ Hòa, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0111,Thác Mơ Thanh Sơn,"Thanh Sơn, Phú Thọ",Phú Thọ,0,missing,
2,PTO_0101,Đền Bạch Hạc,"Bạch Hạc, Việt Trì, Phú Thọ",Phú Thọ,0,missing,
2,ha-noi__chua-huong,Chùa Hương,"Hương Sơn, Mỹ Đức, Hà Nội",Hà Nội,0,missing,
2,ha-noi__lang-co-duong-lam,Làng cổ Đường Lâm,"Đường Lâm, Sơn Tây, Hà Nội",Hà Nội,0,missing,
2,ha-noi__vuon-quoc-gia-ba-vi,Vườn quốc gia Ba Vì,"Tản Lĩnh, Ba Vì, Hà Nội",Hà Nội,0,missing,
2,ha-noi__thien-son-suoi-nga,Thiên Sơn - Suối Ngà,"Vân Hòa, Ba Vì, Hà Nội",Hà Nội,0,missing,
2,ha-noi__khoang-xanh-suoi-tien,Khoang Xanh - Suối Tiên,"Vân Hòa, Ba Vì, Hà Nội",Hà Nội,0,missing,
2,ha-noi__lang-gom-bat-trang,Làng gốm Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",Hà Nội,0,missing,
2,ha-noi__lang-lua-van-phuc,Làng lụa Vạn Phúc,"Vạn Phúc, Hà Đông, Hà Nội",Hà Nội,0,missing,
2,ha-noi__nha-tu-hoa-lo,Nhà tù Hỏa Lò,"1 Hỏa Lò, Hoàn Kiếm, Hà Nội",Hà Nội,0,missing,
2,ha-noi__nha-hat-lon-ha-noi,Nhà hát Lớn Hà Nội,"1 Tràng Tiền, Hoàn Kiếm, Hà Nội",Hà Nội,0,missing,
2,ha-noi__cau-long-bien,Cầu Long Biên,"Cầu Long Biên, Hà Nội",Hà Nội,0,missing,
2,ha-noi__den-ngoc-son,Đền Ngọc Sơn,"Đảo Ngọc, Hồ Hoàn Kiếm, Hoàn Kiếm, Hà Nội",Hà Nội,0,missing,
2,ha-noi__chua-mot-cot,Chùa Một Cột,"Phố Chùa Một Cột, Ba Đình, Hà Nội",Hà Nội,0,missing,
